City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,pericos,25.05,-107.7,27.37,31,100,1.28,MX,1702497230
149,vadso,70.0744,29.7487,-8.91,79,75,5.14,NO,1702497230
150,nea anchialos,39.2833,22.8167,8.72,87,20,2.57,GR,1702497230
151,sittwe,20.15,92.9,20.21,89,21,4.17,MM,1702497230
152,kapuskasing,49.4169,-82.4331,-10.95,73,75,4.63,CA,1702497230
153,saskatoon,52.1168,-106.6345,2.99,51,20,6.17,CA,1702497231
154,andreyevo,55.9465,41.1505,-12.28,93,100,4.44,RU,1702497231
155,okhotsk,59.3833,143.3,-20.33,88,97,10.93,RU,1702497231
156,muli,2.9167,73.5667,27.65,78,85,3.29,MV,1702497231
157,ciudad bolivar,8.1222,-63.5497,31.02,56,94,4.67,VE,1702497231
158,mersing,2.4312,103.8405,24.95,94,20,1.03,MY,1702497231
159,college,64.8569,-147.8028,-14.03,84,100,0.0,US,1702497231
160,romilly-sur-seine,48.5108,3.7263,9.55,91,91,4.05,FR,1702497231
161,utrik,11.2278,169.8474,27.11,84,20,10.95,MH,1702497231
162,labytnangi,66.6572,66.4183,-15.52,93,100,2.98,RU,1702497232
163,stanley,54.868,-1.6985,2.06,94,88,0.73,GB,1702497232
164,willowmore,-33.2926,23.4895,16.44,70,2,3.35,ZA,1702497232
165,saint-joseph,-21.3667,55.6167,25.21,83,90,1.81,RE,1702497232
166,nuuk,64.1835,-51.7216,-6.66,86,75,2.57,GL,1702497232
167,port alfred,-33.5906,26.891,17.88,89,59,1.79,ZA,1702497077
168,anzio,41.4853,12.6179,16.39,78,100,8.04,IT,1702497232
169,san pedro pochutla,15.7333,-96.4667,34.84,53,72,3.15,MX,1702497232
